"code_1","code_2","code_3","code_4","code_5","code_6","code_7","code_8","code_9","code_10","code_11","code_12","code_13","code_14","prompt_1","prompt_2","prompt_3","prompt_4","prompt_5","prompt_6","prompt_7","prompt_8","prompt_9","prompt_10","prompt_11","prompt_12","prompt_13","prompt_14","list"
"verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=high","filler_value=low","filler_value=low","filler_value=low","How likely is someone being courageous to comfort people?","How likely is someone being stupid to annoy people?","How likely is someone being playful to amuse people?","How likely is someone being rude to upset people?","How likely is someone being greedy to bother people?","How likely is someone being smart to inspire people?","How likely is someone being jealous to anger people?","How likely is someone being talented to delight people?","How likely is someone having their dog die to make them sad?","How likely is someone winning the lottery to make them happy?","How likely is someone going on vacation to make them relaxed?","How likely is someone drinking water to make them scared?","How likely is someone crashing their car to make them pleased?","How likely is someone taking a nap to make them excited?",11
"verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=high","filler_value=low","filler_value=low","filler_value=low","How likely is someone being greedy to bother people?","How likely is someone being stupid to annoy people?","How likely is someone being courageous to comfort people?","How likely is someone being jealous to anger people?","How likely is someone being rude to upset people?","How likely is someone being smart to inspire people?","How likely is someone being playful to amuse people?","How likely is someone being talented to delight people?","How likely is someone going on vacation to make them relaxed?","How likely is someone having their dog die to make them sad?","How likely is someone winning the lottery to make them happy?","How likely is someone crashing their car to make them pleased?","How likely is someone taking a nap to make them excited?","How likely is someone drinking water to make them scared?",12
"verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=low","filler_value=low","filler_value=high","filler_value=low","How likely is someone being playful to amuse people?","How likely is someone being smart to inspire people?","How likely is someone being courageous to comfort people?","How likely is someone being greedy to bother people?","How likely is someone being rude to upset people?","How likely is someone being jealous to anger people?","How likely is someone being stupid to annoy people?","How likely is someone being talented to delight people?","How likely is someone having their dog die to make them sad?","How likely is someone winning the lottery to make them happy?","How likely is someone taking a nap to make them excited?","How likely is someone crashing their car to make them pleased?","How likely is someone going on vacation to make them relaxed?","How likely is someone drinking water to make them scared?",13
"verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=low","filler_value=high","filler_value=high","filler_value=high","filler_value=low","How likely is someone being talented to delight people?","How likely is someone being playful to amuse people?","How likely is someone being smart to inspire people?","How likely is someone being rude to upset people?","How likely is someone being courageous to comfort people?","How likely is someone being greedy to bother people?","How likely is someone being jealous to anger people?","How likely is someone being stupid to annoy people?","How likely is someone taking a nap to make them excited?","How likely is someone drinking water to make them scared?","How likely is someone having their dog die to make them sad?","How likely is someone going on vacation to make them relaxed?","How likely is someone winning the lottery to make them happy?","How likely is someone crashing their car to make them pleased?",14
"verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=high","filler_value=high","filler_value=low","filler_value=low","filler_value=low","How likely is someone being playful to amuse people?","How likely is someone being courageous to comfort people?","How likely is someone being greedy to bother people?","How likely is someone being talented to delight people?","How likely is someone being stupid to annoy people?","How likely is someone being jealous to anger people?","How likely is someone being smart to inspire people?","How likely is someone being rude to upset people?","How likely is someone winning the lottery to make them happy?","How likely is someone having their dog die to make them sad?","How likely is someone going on vacation to make them relaxed?","How likely is someone taking a nap to make them excited?","How likely is someone drinking water to make them scared?","How likely is someone crashing their car to make them pleased?",15
"verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=low","filler_value=low","filler_value=high","filler_value=low","How likely is someone being greedy to bother people?","How likely is someone being stupid to annoy people?","How likely is someone being rude to upset people?","How likely is someone being smart to inspire people?","How likely is someone being courageous to comfort people?","How likely is someone being jealous to anger people?","How likely is someone being talented to delight people?","How likely is someone being playful to amuse people?","How likely is someone having their dog die to make them sad?","How likely is someone going on vacation to make them relaxed?","How likely is someone crashing their car to make them pleased?","How likely is someone drinking water to make them scared?","How likely is someone winning the lottery to make them happy?","How likely is someone taking a nap to make them excited?",16
"verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=low","filler_value=low","filler_value=high","filler_value=high","filler_value=low","How likely is someone being greedy to bother people?","How likely is someone being stupid to annoy people?","How likely is someone being courageous to comfort people?","How likely is someone being talented to delight people?","How likely is someone being smart to inspire people?","How likely is someone being rude to upset people?","How likely is someone being playful to amuse people?","How likely is someone being jealous to anger people?","How likely is someone having their dog die to make them sad?","How likely is someone taking a nap to make them excited?","How likely is someone crashing their car to make them pleased?","How likely is someone winning the lottery to make them happy?","How likely is someone going on vacation to make them relaxed?","How likely is someone drinking water to make them scared?",17
"verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=low","filler_value=low","filler_value=high","filler_value=high","filler_value=low","How likely is someone being greedy to bother people?","How likely is someone being playful to amuse people?","How likely is someone being courageous to comfort people?","How likely is someone being jealous to anger people?","How likely is someone being rude to upset people?","How likely is someone being smart to inspire people?","How likely is someone being stupid to annoy people?","How likely is someone being talented to delight people?","How likely is someone going on vacation to make them relaxed?","How likely is someone crashing their car to make them pleased?","How likely is someone taking a nap to make them excited?","How likely is someone winning the lottery to make them happy?","How likely is someone having their dog die to make them sad?","How likely is someone drinking water to make them scared?",18
"verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=low","filler_value=low","filler_value=high","filler_value=high","filler_value=high","How likely is someone being courageous to comfort people?","How likely is someone being jealous to anger people?","How likely is someone being stupid to annoy people?","How likely is someone being playful to amuse people?","How likely is someone being talented to delight people?","How likely is someone being rude to upset people?","How likely is someone being smart to inspire people?","How likely is someone being greedy to bother people?","How likely is someone drinking water to make them scared?","How likely is someone crashing their car to make them pleased?","How likely is someone taking a nap to make them excited?","How likely is someone having their dog die to make them sad?","How likely is someone going on vacation to make them relaxed?","How likely is someone winning the lottery to make them happy?",19
"verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=high","filler_value=low","filler_value=low","filler_value=low","How likely is someone being rude to upset people?","How likely is someone being stupid to annoy people?","How likely is someone being playful to amuse people?","How likely is someone being greedy to bother people?","How likely is someone being smart to inspire people?","How likely is someone being talented to delight people?","How likely is someone being jealous to anger people?","How likely is someone being courageous to comfort people?","How likely is someone winning the lottery to make them happy?","How likely is someone having their dog die to make them sad?","How likely is someone going on vacation to make them relaxed?","How likely is someone crashing their car to make them pleased?","How likely is someone drinking water to make them scared?","How likely is someone taking a nap to make them excited?",20
